id;nombre;numero_contacto;email;tipo_identificacion;numero_cc;tipo_proveedor
1;connecting fritas;methodologies Yemeni;Fernando45@gmail.com;ROOT;card matrix Asistente;JURIDICA
2;system Borders interface;Pescado open-source;Isabela_Orellana32@yahoo.com;ROOT;Loan Singapur;NATURAL
3;Saudí;Money alarm;Julia.Esquibel94@hotmail.com;ROOT;interfaz;JURIDICA
4;Negro Pollo Sabroso;Trinidad Raton Dollar;Barbara.Barreto69@yahoo.com;ROOT;methodologies strategic;NATURAL
5;revolutionize;programming;Jacobo_Loera14@hotmail.com;TI;XML motivadora;NATURAL
6;system GB Nacional;out-of-the-box;Leticia.Villegas@hotmail.com;CE;deposit Gerente ROI;JURIDICA
7;visualize facilitate;Violeta mobile Plástico;Gregorio_Villagmez@gmail.com;TI;Bacon back-end;JURIDICA
8;generate Ejecutivo Estratega;Metal;Luz34@hotmail.com;CE;Infraestructura Progresivo;NATURAL
9;Plástico Sabroso;engineer grow Municipio;Yolanda.Nevrez51@gmail.com;NIT;transmitter Gerente;NATURAL
10;Genérico system el;Violeta generate Pasaje;Lucas.Domnguez@yahoo.com;ROOT;platforms invoice Cambridgeshire;NATURAL
